cola_p1,cola_p2,dist_p1,dist_p2,clima_severidad,desgaste_motor,pendiente_p1,pendiente_p2,tiempo_giro_p1,tiempo_giro_p2,decision_optima,eta_minutos
38,11,5.0,12.0,0.4550110323069573,0.6263023324067365,18.0,5.0,37,124,Pala 2,57.5
28,27,5.0,12.0,0.1496367215089267,0.8190574556693498,18.0,5.0,163,59,Pala 1,96.4
14,5,5.0,12.0,0.44972730832378194,0.8875800485895678,18.0,5.0,154,121,Pala 2,42.6
42,19,5.0,12.0,0.27849200335738666,0.25947564957181846,18.0,5.0,157,113,Pala 2,77.9
7,4,5.0,12.0,0.9431631278533492,0.8494115879493195,18.0,5.0,82,44,Pala 2,36.8
20,22,5.0,12.0,0.8840701094157313,0.1947937836376018,18.0,5.0,148,172,Pala 1,72.0
38,8,5.0,12.0,0.08390254182819801,0.41334226414881536,18.0,5.0,120,82,Pala 2,45.8
18,28,5.0,12.0,0.5166534892612429,0.5582596312485993,18.0,5.0,92,52,Pala 1,68.6
22,15,5.0,12.0,0.22505834551467208,0.7138909630740324,18.0,5.0,163,99,Pala 2,70.3
10,45,5.0,12.0,0.4107770895242906,0.030141317722528038,18.0,5.0,136,138,Pala 1,46.9
10,21,5.0,12.0,0.8768479982514564,0.290509412778189,18.0,5.0,31,173,Pala 1,48.0
23,7,5.0,12.0,0.5275145198885448,0.6085190982103903,18.0,5.0,45,116,Pala 2,47.7
35,19,5.0,12.0,0.33421529337075984,0.35736867914911874,18.0,5.0,131,36,Pala 2,78.2
39,13,5.0,12.0,0.20788835410499706,0.7750250556294934,18.0,5.0,148,68,Pala 2,60.0
23,38,5.0,12.0,0.8003248594064892,0.6516521611507162,18.0,5.0,88,133,Pala 1,85.5
2,36,5.0,12.0,0.6245180153643471,0.23440145372373578,18.0,5.0,38,79,Pala 1,25.3
21,49,5.0,12.0,0.4680654604262312,0.14592897959233309,18.0,5.0,146,77,Pala 1,69.0
1,33,5.0,12.0,0.21748435386297804,0.6290469935870504,18.0,5.0,39,78,Pala 1,19.6
23,10,5.0,12.0,0.3342463741571313,0.4504673277047577,18.0,5.0,123,111,Pala 2,55.0
43,39,5.0,12.0,0.9598434267385185,0.1689570411013186,18.0,5.0,36,92,Pala 2,127.5
29,32,5.0,12.0,0.5200899376058343,0.32637420531837735,18.0,5.0,122,159,Pala 1,90.9
37,30,5.0,12.0,0.40069928124325294,0.3030467483185866,18.0,5.0,177,141,Pala 2,105.0
1,43,5.0,12.0,0.5214220423483239,0.1081319723393751,18.0,5.0,152,125,Pala 1,21.8
20,33,5.0,12.0,0.7789885058996087,0.5469090192652281,18.0,5.0,92,150,Pala 1,78.0
32,49,5.0,12.0,0.3401089365028688,0.7636486339125541,18.0,5.0,33,47,Pala 1,104.8
11,6,5.0,12.0,0.17870612093260885,0.575466888852987,18.0,5.0,57,117,Pala 2,43.2
21,48,5.0,12.0,0.5849361183390478,0.8262913649373523,18.0,5.0,101,97,Pala 1,82.7
43,22,5.0,12.0,0.6652041034810672,0.12756854721543132,18.0,5.0,159,89,Pala 2,84.8
24,45,5.0,12.0,0.7127180029585496,0.4356118578222239,18.0,5.0,104,159,Pala 1,84.7
48,6,5.0,12.0,0.8819875907661296,0.6094151036580991,18.0,5.0,102,123,Pala 2,47.3
26,24,5.0,12.0,0.37117412068911304,0.6760015609419073,18.0,5.0,131,78,Pala 2,87.2
41,2,5.0,12.0,0.0753548962288918,0.695786306423427,18.0,5.0,158,109,Pala 2,30.8
27,37,5.0,12.0,0.9583485836309422,0.728965427097881,18.0,5.0,96,156,Pala 1,100.5
15,19,5.0,12.0,0.4350119274374752,0.6514298121960167,18.0,5.0,57,82,Pala 1,61.2
14,33,5.0,12.0,0.6232575096731313,0.09422808894086765,18.0,5.0,121,93,Pala 1,56.5
46,48,5.0,12.0,0.6663053231282923,0.6953056776022964,18.0,5.0,111,62,Pala 1,146.1
43,43,5.0,12.0,0.5465137087012035,0.7247826567743876,18.0,5.0,80,87,Pala 1,128.8
2,43,5.0,12.0,0.2052575297362701,0.9934799343336271,18.0,5.0,85,79,Pala 1,27.7
36,29,5.0,12.0,0.7551430501161415,0.693362436701126,18.0,5.0,102,93,Pala 2,101.8
6,16,5.0,12.0,0.8037519743040816,0.6868303957515489,18.0,5.0,55,160,Pala 1,42.5
20,9,5.0,12.0,0.5529755860174398,0.514813290181972,18.0,5.0,117,154,Pala 2,54.2
8,34,5.0,12.0,0.48856116058484156,0.8679229085851139,18.0,5.0,81,90,Pala 1,44.1
38,19,5.0,12.0,0.11393818312798532,0.9968347619611583,18.0,5.0,154,153,Pala 2,77.8
17,17,5.0,12.0,0.08395166149978384,0.7790448701974321,18.0,5.0,35,167,Pala 1,63.2
3,44,5.0,12.0,0.3395648455635287,0.6125003778578084,18.0,5.0,146,95,Pala 1,29.6
24,43,5.0,12.0,0.31084615551739325,0.07895482693156819,18.0,5.0,41,59,Pala 1,75.9
13,26,5.0,12.0,0.9536564509632712,0.7267391317296276,18.0,5.0,92,54,Pala 1,65.0
49,48,5.0,12.0,0.7836227424434298,0.7085615685819504,18.0,5.0,65,149,Pala 2,151.1
8,35,5.0,12.0,0.6599242952590599,0.7755681478094317,18.0,5.0,38,117,Pala 1,46.0
25,22,5.0,12.0,0.5176480890176051,0.12455538839948932,18.0,5.0,103,39,Pala 1,79.3
1,31,5.0,12.0,0.16736753072665134,0.6537325001261435,18.0,5.0,96,123,Pala 1,22.4
19,9,5.0,12.0,0.9784566721842839,0.29572390495167467,18.0,5.0,58,155,Pala 2,56.9
27,10,5.0,12.0,0.37504069824021,0.7602712434028337,18.0,5.0,100,128,Pala 2,55.0
46,37,5.0,12.0,0.1069256024472448,0.24037395403146622,18.0,5.0,119,117,Pala 2,120.8
6,5,5.0,12.0,0.4937988957157461,0.6839786768204107,18.0,5.0,37,49,Pala 2,39.2
43,40,5.0,12.0,0.8739980116130832,0.2949929469839797,18.0,5.0,72,146,Pala 2,132.8
7,46,5.0,12.0,0.8872910017773294,0.008994292817431138,18.0,5.0,64,132,Pala 1,45.6
46,33,5.0,12.0,0.010965916056447256,0.6333579119730954,18.0,5.0,139,128,Pala 2,110.1
34,35,5.0,12.0,0.8862957447513997,0.11326908315892237,18.0,5.0,51,152,Pala 1,110.1
13,36,5.0,12.0,0.2714842174998585,0.6592914727882141,18.0,5.0,95,103,Pala 1,56.4
16,16,5.0,12.0,0.038972363968423074,0.9256094483569375,18.0,5.0,131,80,Pala 1,60.2
35,39,5.0,12.0,0.8477902703628744,0.9692459342110903,18.0,5.0,178,108,Pala 1,118.8
49,39,5.0,12.0,0.8638667559882083,0.23592308732761258,18.0,5.0,123,32,Pala 2,129.4
39,11,5.0,12.0,0.59623107984235,0.8092532276506549,18.0,5.0,124,109,Pala 2,57.7
3,20,5.0,12.0,0.5744337572963584,0.3535532768724403,18.0,5.0,70,98,Pala 1,29.0
1,39,5.0,12.0,0.8131202726214194,0.9004570727479824,18.0,5.0,33,50,Pala 1,31.1
5,18,5.0,12.0,0.7863095527102798,0.7874895686293738,18.0,5.0,127,71,Pala 1,40.2
41,2,5.0,12.0,0.8901054734427041,0.07392171664576364,18.0,5.0,39,147,Pala 2,33.8
3,17,5.0,12.0,0.5527474475967035,0.4071369938772773,18.0,5.0,123,50,Pala 1,29.5
28,18,5.0,12.0,0.9676470927328087,0.3373178260096741,18.0,5.0,96,159,Pala 2,78.7
17,46,5.0,12.0,0.9961468309333384,0.785181020723277,18.0,5.0,167,164,Pala 1,77.6
25,5,5.0,12.0,0.11654460999863259,0.4102857106531591,18.0,5.0,102,64,Pala 2,36.3
43,15,5.0,12.0,0.8495437595541221,0.6845883976530838,18.0,5.0,174,59,Pala 2,71.0
33,7,5.0,12.0,0.499822257748589,0.6024352555904404,18.0,5.0,82,84,Pala 2,47.3
9,47,5.0,12.0,0.3875663382998321,0.9756387190976338,18.0,5.0,33,30,Pala 1,46.1
35,17,5.0,12.0,0.613072309882715,0.9377849568016149,18.0,5.0,97,154,Pala 2,74.4
13,47,5.0,12.0,0.055965557262007026,0.4276995147387187,18.0,5.0,142,140,Pala 1,51.8
30,42,5.0,12.0,0.5064611187670799,0.7235782116411493,18.0,5.0,125,158,Pala 1,102.1
47,38,5.0,12.0,0.8708905700266667,0.8294600939812218,18.0,5.0,131,92,Pala 2,126.8
14,48,5.0,12.0,0.2134615161389688,0.8988857538621452,18.0,5.0,168,115,Pala 1,58.1
7,48,5.0,12.0,0.4263898947694251,0.06813426377648368,18.0,5.0,73,106,Pala 1,31.8
13,11,5.0,12.0,0.9394808877148755,0.3020787992734968,18.0,5.0,148,151,Pala 2,57.4
22,44,5.0,12.0,0.4285638378056973,0.3202300409685218,18.0,5.0,139,44,Pala 1,76.3
39,9,5.0,12.0,0.3583676323323983,0.4344459512198786,18.0,5.0,75,156,Pala 2,52.6
20,6,5.0,12.0,0.4405366481233782,0.16926475071541902,18.0,5.0,52,166,Pala 2,42.7
15,45,5.0,12.0,0.5194527665175563,0.4962058799500081,18.0,5.0,135,98,Pala 1,60.6
44,0,5.0,12.0,0.6319913441314688,0.6632143272984561,18.0,5.0,155,88,Pala 2,31.4
17,48,5.0,12.0,0.8006928009167311,0.4973639202167177,18.0,5.0,119,137,Pala 1,71.2
46,35,5.0,12.0,0.45210220576431426,0.6657930951976158,18.0,5.0,127,142,Pala 2,120.4
23,20,5.0,12.0,0.8174809350901403,0.0664416318179003,18.0,5.0,104,136,Pala 2,76.8
25,36,5.0,12.0,0.5337206613520806,0.8759873317074103,18.0,5.0,143,168,Pala 1,87.4
24,23,5.0,12.0,0.33848051036797766,0.9390691921010684,18.0,5.0,149,53,Pala 2,84.6
44,24,5.0,12.0,0.6579508281194142,0.6179074241186486,18.0,5.0,114,101,Pala 2,90.0
40,6,5.0,12.0,0.7177222547434914,0.881390998636897,18.0,5.0,72,140,Pala 2,46.7
28,41,5.0,12.0,0.5580489756294875,0.13144601664821243,18.0,5.0,117,135,Pala 1,93.1
