cola_p1,cola_p2,dist_p1,dist_p2,decision_correcta
38,44,5.0,12.0,Pala 1
28,16,5.0,12.0,Pala 2
14,39,5.0,12.0,Pala 1
42,20,5.0,12.0,Pala 2
7,1,5.0,12.0,Pala 1
20,36,5.0,12.0,Pala 1
38,5,5.0,12.0,Pala 2
18,43,5.0,12.0,Pala 1
22,17,5.0,12.0,Pala 1
10,29,5.0,12.0,Pala 1
10,21,5.0,12.0,Pala 1
23,32,5.0,12.0,Pala 1
35,29,5.0,12.0,Pala 2
39,16,5.0,12.0,Pala 2
23,42,5.0,12.0,Pala 1
2,31,5.0,12.0,Pala 1
21,41,5.0,12.0,Pala 1
1,13,5.0,12.0,Pala 1
23,9,5.0,12.0,Pala 2
43,46,5.0,12.0,Pala 1
29,35,5.0,12.0,Pala 1
37,33,5.0,12.0,Pala 1
1,8,5.0,12.0,Pala 1
20,41,5.0,12.0,Pala 1
32,27,5.0,12.0,Pala 2
11,10,5.0,12.0,Pala 1
21,13,5.0,12.0,Pala 2
43,38,5.0,12.0,Pala 2
24,46,5.0,12.0,Pala 1
48,18,5.0,12.0,Pala 2
26,14,5.0,12.0,Pala 2
41,27,5.0,12.0,Pala 2
27,23,5.0,12.0,Pala 1
15,7,5.0,12.0,Pala 2
14,42,5.0,12.0,Pala 1
46,8,5.0,12.0,Pala 2
43,46,5.0,12.0,Pala 1
2,32,5.0,12.0,Pala 1
36,32,5.0,12.0,Pala 2
6,18,5.0,12.0,Pala 1
20,2,5.0,12.0,Pala 2
8,9,5.0,12.0,Pala 1
38,39,5.0,12.0,Pala 2
17,46,5.0,12.0,Pala 1
3,41,5.0,12.0,Pala 1
24,0,5.0,12.0,Pala 2
13,28,5.0,12.0,Pala 1
49,49,5.0,12.0,Pala 2
8,33,5.0,12.0,Pala 1
25,12,5.0,12.0,Pala 2
1,0,5.0,12.0,Pala 1
19,33,5.0,12.0,Pala 1
27,28,5.0,12.0,Pala 1
46,47,5.0,12.0,Pala 1
6,46,5.0,12.0,Pala 1
43,12,5.0,12.0,Pala 2
7,47,5.0,12.0,Pala 1
46,48,5.0,12.0,Pala 1
34,28,5.0,12.0,Pala 2
13,38,5.0,12.0,Pala 1
16,23,5.0,12.0,Pala 1
35,25,5.0,12.0,Pala 2
49,16,5.0,12.0,Pala 2
39,6,5.0,12.0,Pala 2
3,12,5.0,12.0,Pala 1
1,4,5.0,12.0,Pala 1
5,25,5.0,12.0,Pala 1
41,48,5.0,12.0,Pala 1
